system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,.geo
145_0,225.0,177.5,190.0,3.0,2.0,
149_0,200.0,175.5,190.0,3.0,2.0,
188_0,188.0,176.5,190.0,3.0,3.0,
203_0,193.0,176.5,189.0,3.0,1.0,
416_0,340.0,175.0,189.5,3.0,3.0,
588_0,229.0,177.0,190.0,3.0,5.0,
612_0,284.0,175.5,190.0,3.0,4.0,
735_0,341.0,174.5,190.0,3.0,2.0,
828_0,243.0,177.0,190.0,3.0,5.0,
914_0,212.0,178.0,188.5,3.0,1.0,
971_0,200.0,175.5,190.0,3.0,1.0,
987_0,201.0,176.0,190.0,3.0,4.0,
1008_0,199.0,175.5,190.0,3.0,2.0,
1073_0,284.0,175.5,190.0,3.0,3.0,
1080_0,342.0,177.0,189.5,3.0,6.0,
1202_0,340.0,176.0,189.0,3.0,3.0,
1206_0,341.0,175.0,190.0,3.0,1.0,
1310_0,345.0,174.5,189.0,3.0,8.0,
1319_0,350.0,175.0,189.5,3.0,3.0,
1449_0,343.0,174.5,190.0,3.0,5.0,
1588_0,300.0,175.0,189.5,3.0,2.0,
1617_0,193.0,176.0,190.0,3.0,1.0,
1621_0,340.0,175.0,190.0,3.0,3.0,
1747_0,193.0,175.5,189.0,3.0,1.0,
1803_0,284.0,175.5,190.0,3.0,4.0,
1876_0,290.0,175.0,190.0,3.0,2.0,
2178_0,191.0,174.5,189.5,3.0,2.0,
2374_0,351.0,174.5,189.5,3.0,3.0,
2445_0,282.0,176.5,190.0,3.0,2.0,
2448_0,231.0,177.0,214.0,3.0,1.0,
2449_0,245.0,176.5,189.0,3.0,2.0,
2473_0,188.0,176.0,187.5,3.0,1.0,
2517_0,282.0,176.0,190.0,3.0,2.0,
2581_0,282.0,175.5,190.0,3.0,1.0,
2739_0,198.0,175.5,189.5,3.0,2.0,
2815_0,250.0,177.5,190.0,3.0,2.0,
2892_0,344.0,177.0,189.0,3.0,2.0,
2928_0,339.0,175.0,189.5,3.0,2.0,
3095_0,339.0,176.5,190.0,3.0,2.0,
3184_0,338.0,175.0,189.5,3.0,1.0,
3209_0,259.0,176.5,189.0,3.0,2.0,
3210_0,241.0,180.0,189.5,3.0,1.0,
3232_0,248.0,177.0,190.0,3.0,6.0,
3261_0,212.0,175.0,189.0,3.0,2.0,
3792_0,192.0,175.0,190.0,3.0,1.0,
3834_0,246.0,176.5,190.0,3.0,11.0,
3917_0,193.0,175.5,189.5,3.0,2.0,
4281_0,210.0,177.5,189.5,3.0,2.0,
4355_0,341.0,175.0,190.0,3.0,2.0,
4422_0,178.0,175.5,189.0,3.0,1.0,
4461_0,170.0,175.0,189.5,3.0,2.0,
4494_0,339.0,176.0,189.5,3.0,2.0,
4550_0,243.0,177.5,190.0,3.0,8.0,
4794_0,222.0,177.0,187.5,3.0,1.0,
4886_0,232.0,205.5,214.0,3.0,4.0,
4905_0,245.0,175.0,189.0,3.0,2.0,
5255_0,196.0,175.0,190.0,3.0,3.0,
5416_0,340.0,175.0,189.5,3.0,3.0,
5549_0,349.0,178.0,190.0,3.0,4.0,
5565_0,285.0,176.0,190.0,3.0,1.0,
5597_0,286.0,176.0,190.0,3.0,1.0,
5788_0,268.0,175.5,190.0,3.0,1.0,
5868_0,235.0,177.5,189.5,3.0,1.0,
5878_0,181.0,175.0,189.5,3.0,2.0,
5955_0,217.0,190.0,233.0,3.0,8.0,
6185_0,339.0,175.0,189.5,3.0,1.0,
6281_0,263.0,176.5,189.5,3.0,1.0,
6333_0,191.0,175.5,190.0,3.0,3.0,
6404_0,251.0,178.0,190.0,3.0,1.0,
6484_0,284.0,176.0,190.0,3.0,2.0,
6610_0,282.0,175.5,190.0,3.0,2.0,
6662_0,233.0,177.5,190.0,3.0,3.0,
6681_0,282.0,175.5,190.0,3.0,2.0,
6738_0,350.0,174.5,190.0,3.0,2.0,
6807_0,343.0,174.5,189.5,3.0,4.0,
6894_0,339.0,175.0,189.5,3.0,2.0,
6933_0,190.0,175.5,190.0,3.0,3.0,
7022_0,284.0,175.0,190.0,3.0,3.0,
7044_0,211.0,177.0,189.0,3.0,2.0,
7054_0,342.0,176.5,189.5,3.0,8.0,
7285_0,246.0,177.0,190.0,3.0,7.0,
7456_0,190.0,175.0,189.5,3.0,2.0,
7466_0,192.0,175.5,190.0,3.0,1.0,
7469_0,344.0,174.5,190.0,3.0,5.0,
7609_0,282.0,176.0,190.0,3.0,2.0,
7657_0,282.0,176.5,190.0,3.0,2.0,
7891_0,283.0,175.5,190.0,3.0,4.0,
7902_0,231.0,175.5,190.0,3.0,1.0,
7940_0,159.0,175.0,190.0,3.0,1.0,
7981_0,140.0,174.5,189.5,3.0,1.0,
8030_0,198.0,175.5,190.0,3.0,2.0,
8054_0,192.0,175.5,190.0,3.0,1.0,
8156_0,340.0,175.0,189.5,3.0,2.0,
8160_0,292.0,176.0,189.5,3.0,1.0,
8187_0,283.0,176.5,190.0,3.0,3.0,
8212_0,343.0,177.5,188.5,3.0,4.0,
8237_0,284.0,175.5,190.0,3.0,1.0,
8436_0,234.0,177.0,190.0,3.0,4.0,
8505_0,287.0,175.5,190.0,3.0,4.0,
8570_0,284.0,175.0,190.0,3.0,3.0,
8724_0,340.0,178.5,187.0,3.0,3.0,
8734_0,246.0,176.5,190.0,3.0,10.0,
8803_0,210.0,177.0,188.5,3.0,3.0,
8876_0,242.0,176.5,190.0,3.0,10.0,
9098_0,339.0,175.0,190.0,3.0,2.0,
9107_0,193.0,175.5,189.0,3.0,1.0,
9121_0,199.0,175.5,190.0,3.0,4.0,
9244_0,200.0,176.0,190.0,3.0,2.0,
9255_0,282.0,175.5,190.0,3.0,2.0,
9446_0,245.0,177.5,190.0,3.0,13.0,
9454_0,228.0,177.5,190.0,3.0,2.0,
9543_0,237.0,175.0,190.0,3.0,1.0,
9575_0,344.0,177.0,190.0,3.0,2.0,
9582_0,139.0,174.5,189.5,3.0,2.0,
9612_0,221.0,177.0,190.0,3.0,1.0,
9829_0,282.0,176.0,190.0,3.0,2.0,
9944_0,339.0,175.0,189.5,3.0,1.0,
10067_0,340.0,175.0,189.5,3.0,4.0,
10109_0,339.0,175.0,190.0,3.0,2.0,
10237_0,191.0,175.5,190.0,3.0,3.0,
10309_0,243.0,175.0,189.5,3.0,4.0,
10345_0,282.0,176.0,190.0,3.0,2.0,
10485_0,227.0,177.0,190.0,3.0,5.0,
10502_0,339.0,175.0,190.0,3.0,2.0,
10507_0,140.0,174.5,189.5,3.0,1.0,
10573_0,195.0,174.5,189.5,3.0,3.0,
10633_0,237.0,179.0,190.0,3.0,15.0,
10753_0,340.0,177.5,188.5,3.0,3.0,
10838_0,282.0,175.5,190.0,3.0,2.0,
10936_0,110.0,174.5,190.0,3.0,1.0,
11025_0,201.0,175.5,190.0,3.0,1.0,
11136_0,291.0,175.0,190.0,3.0,3.0,
11137_0,239.0,178.0,190.0,3.0,1.0,
11240_0,342.0,178.5,187.0,3.0,7.0,
11344_0,247.0,178.5,220.0,3.0,9.0,
11345_0,203.0,175.5,190.0,3.0,1.0,
11404_0,238.0,178.0,190.0,3.0,1.0,
11413_0,240.0,177.0,190.0,3.0,5.0,
11495_0,282.0,175.0,190.0,3.0,2.0,
11507_0,218.0,176.0,189.0,3.0,1.0,
11537_0,252.0,177.5,210.5,3.0,1.0,
11538_0,208.0,177.0,189.5,3.0,1.0,
11557_0,203.0,176.0,190.0,3.0,1.0,
11774_0,193.0,177.0,189.5,3.0,1.0,
11873_0,339.0,176.5,189.5,3.0,2.0,
12017_0,66.0,175.5,190.0,3.0,3.0,
12044_0,343.0,174.5,190.0,3.0,5.0,
12306_0,339.0,176.0,190.0,3.0,2.0,
12407_0,247.0,178.5,190.0,3.0,7.0,
12515_0,288.0,177.0,190.0,3.0,2.0,
12601_0,346.0,174.5,190.0,3.0,7.0,
12634_0,179.0,179.5,189.0,3.0,1.0,
12639_0,190.0,175.5,190.0,3.0,3.0,
12684_0,201.0,177.0,190.0,3.0,4.0,
12803_0,246.0,175.0,189.5,3.0,3.0,
12823_0,191.0,175.5,190.0,3.0,3.0,
12916_0,339.0,175.0,190.0,3.0,2.0,
13043_0,344.0,174.5,189.5,3.0,3.0,
13344_0,193.0,175.5,189.5,3.0,2.0,
13393_0,229.0,177.0,190.0,3.0,4.0,
13424_0,246.0,176.5,190.0,3.0,7.0,
13467_0,343.0,176.5,190.0,3.0,5.0,
13556_0,199.0,175.5,190.0,3.0,2.0,
13613_0,343.0,175.0,190.0,3.0,5.0,
13741_0,344.0,174.5,190.0,3.0,3.0,
13770_0,340.0,174.5,189.0,3.0,2.0,
14074_0,282.0,175.5,190.0,3.0,2.0,
14079_0,246.0,177.5,189.5,3.0,10.0,
14180_0,210.0,177.5,189.0,3.0,1.0,
14271_0,210.0,177.0,189.5,3.0,2.0,
14295_0,190.0,176.0,190.0,3.0,4.0,
14423_0,228.0,176.5,190.0,3.0,1.0,
14734_0,189.0,176.0,190.0,3.0,3.0,
14780_0,192.0,176.5,190.0,3.0,5.0,
14788_0,199.0,174.5,189.5,3.0,2.0,
14906_0,233.0,177.0,190.0,3.0,9.0,
14918_0,282.0,176.0,190.0,3.0,2.0,
14951_0,282.0,176.0,190.0,3.0,2.0,
14979_0,282.0,176.5,190.0,3.0,2.0,
15350_0,350.0,178.0,189.5,3.0,3.0,
15469_0,339.0,175.0,189.5,3.0,2.0,
15477_0,246.0,176.5,189.5,3.0,4.0,
15504_0,211.0,178.5,189.5,3.0,2.0,
15616_0,247.0,177.5,190.0,3.0,9.0,
15626_0,190.0,176.0,190.0,3.0,4.0,
15831_0,244.0,176.5,189.5,3.0,10.0,
15843_0,242.0,179.0,244.5,3.0,14.0,
15899_0,195.0,174.5,189.5,3.0,1.0,
16213_0,200.0,175.5,190.0,3.0,2.0,
