system:index,elevation,.geo
0_0,922,
1_0,14,
3_0,939,
4_0,1911,
5_0,295,
6_0,32,
7_0,8,
8_0,1505,
9_0,40,
10_0,171,
11_0,1293,
12_0,1762,
13_0,10,
14_0,1782,
15_0,579,
16_0,248,
17_0,232,
18_0,275,
19_0,986,
20_0,279,
21_0,1237,
22_0,968,
23_0,380,
24_0,1721,
25_0,382,
26_0,2210,
27_0,-3,
28_0,201,
29_0,1350,
30_0,484,
31_0,173,
32_0,1030,
33_0,2710,
34_0,2,
35_0,840,
36_0,359,
37_0,1696,
38_0,2045,
39_0,960,
40_0,-71,
41_0,67,
42_0,109,
43_0,1605,
44_0,922,
45_0,1573,
46_0,1712,
47_0,1936,
49_0,65,
51_0,2136,
52_0,2055,
53_0,720,
54_0,1363,
55_0,1497,
56_0,236,
57_0,3480,
58_0,494,
59_0,1222,
60_0,1291,
61_0,1093,
62_0,1898,
63_0,1607,
64_0,-2,
65_0,518,
66_0,434,
67_0,1260,
68_0,189,
69_0,448,
70_0,1849,
71_0,473,
72_0,759,
73_0,95,
74_0,210,
75_0,53,
76_0,150,
77_0,23,
78_0,1222,
79_0,2293,
80_0,2936,
81_0,25,
82_0,2276,
83_0,2937,
84_0,1253,
86_0,253,
87_0,648,
88_0,1548,
89_0,129,
91_0,1019,
92_0,1410,
93_0,194,
95_0,25,
96_0,527,
97_0,59,
99_0,1239,
100_0,535,
101_0,629,
102_0,960,
103_0,1109,
105_0,2379,
106_0,25,
107_0,600,
108_0,-1,
109_0,2521,
110_0,1778,
111_0,-19,
112_0,1812,
113_0,539,
114_0,1437,
115_0,1237,
116_0,42,
117_0,387,
118_0,398,
119_0,1154,
120_0,646,
121_0,353,
123_0,35,
124_0,140,
125_0,1362,
126_0,1386,
127_0,1032,
128_0,409,
129_0,758,
130_0,345,
131_0,631,
132_0,1015,
133_0,1018,
134_0,1625,
135_0,1972,
136_0,2417,
137_0,503,
138_0,154,
139_0,797,
140_0,834,
141_0,31,
143_0,1351,
144_0,616,
145_0,1109,
146_0,1556,
147_0,2017,
148_0,695,
149_0,751,
151_0,346,
152_0,2169,
153_0,853,
154_0,2253,
155_0,2469,
156_0,2700,
157_0,268,
158_0,759,
160_0,206,
161_0,442,
162_0,2938,
163_0,1330,
164_0,1552,
165_0,2470,
166_0,325,
167_0,395,
168_0,699,
169_0,306,
170_0,116,
171_0,85,
172_0,770,
173_0,1146,
175_0,1946,
176_0,1345,
177_0,173,
178_0,1277,
179_0,2637,
180_0,325,
181_0,21,
182_0,209,
183_0,395,
184_0,422,
186_0,1616,
187_0,1477,
188_0,93,
190_0,2446,
191_0,231,
192_0,999,
193_0,46,
194_0,2653,
195_0,35,
196_0,701,
197_0,1363,
198_0,1930,
199_0,446,
200_0,1856,
202_0,1461,
203_0,1557,
204_0,90,
205_0,686,
206_0,688,
207_0,1630,
208_0,216,
209_0,86,
210_0,331,
211_0,387,
212_0,456,
213_0,635,
214_0,1250,
215_0,906,
216_0,1366,
217_0,842,
218_0,484,
219_0,1007,
220_0,1953,
221_0,497,
222_0,274,
223_0,2549,
224_0,380,
225_0,1992,
226_0,1059,
227_0,156,
228_0,1170,
229_0,1412,
230_0,1424,
231_0,1983,
232_0,638,
233_0,1227,
234_0,1197,
235_0,169,
237_0,1360,
238_0,102,
239_0,1332,
241_0,233,
242_0,74,
243_0,1082,
244_0,46,
245_0,27,
246_0,83,
247_0,750,
248_0,23,
249_0,1601,
250_0,869,
251_0,460,
252_0,1411,
253_0,123,
254_0,14,
255_0,1418,
256_0,691,
257_0,891,
258_0,1339,
259_0,376,
260_0,850,
261_0,286,
262_0,909,
263_0,57,
264_0,1823,
265_0,666,
266_0,705,
267_0,1333,
268_0,237,
269_0,1940,
270_0,90,
271_0,257,
272_0,164,
273_0,1368,
274_0,289,
275_0,27,
276_0,167,
277_0,1405,
278_0,2070,
279_0,350,
280_0,10,
281_0,652,
282_0,1489,
283_0,836,
284_0,8,
286_0,19,
287_0,1640,
289_0,362,
291_0,298,
292_0,279,
293_0,311,
294_0,1536,
295_0,1534,
296_0,2247,
297_0,1006,
298_0,1710,
299_0,1465,
300_0,526,
301_0,174,
302_0,1221,
303_0,540,
304_0,363,
305_0,1806,
306_0,824,
307_0,3047,
308_0,366,
309_0,2042,
310_0,1530,
311_0,114,
312_0,688,
313_0,901,
314_0,1562,
315_0,835,
316_0,298,
317_0,593,
318_0,871,
320_0,1824,
321_0,1375,
323_0,1187,
325_0,38,
326_0,166,
327_0,102,
328_0,363,
329_0,987,
330_0,977,
331_0,2258,
332_0,1376,
333_0,62,
334_0,1672,
335_0,1316,
336_0,622,
337_0,1383,
338_0,80,
339_0,790,
340_0,824,
341_0,1258,
342_0,426,
343_0,773,
344_0,2379,
345_0,843,
346_0,2896,
347_0,1126,
348_0,363,
350_0,-49,
351_0,1211,
352_0,388,
353_0,216,
354_0,935,
355_0,1705,
356_0,907,
357_0,303,
359_0,597,
360_0,1150,
362_0,1619,
363_0,480,
364_0,1264,
365_0,72,
366_0,895,
367_0,2030,
368_0,145,
369_0,89,
370_0,390,
371_0,51,
372_0,23,
373_0,-59,
374_0,190,
375_0,15,
376_0,398,
377_0,281,
378_0,401,
379_0,503,
380_0,1335,
381_0,-2,
382_0,226,
383_0,740,
384_0,382,
385_0,897,
386_0,76,
387_0,757,
388_0,275,
389_0,1927,
390_0,233,
391_0,595,
392_0,1107,
393_0,1382,
394_0,36,
395_0,549,
396_0,98,
397_0,159,
398_0,736,
399_0,287,
400_0,846,
401_0,547,
402_0,2435,
403_0,150,
404_0,274,
405_0,496,
406_0,130,
407_0,604,
409_0,2836,
410_0,-1,
411_0,1394,
413_0,1118,
414_0,111,
415_0,230,
416_0,396,
417_0,969,
418_0,463,
419_0,3636,
420_0,1588,
421_0,697,
422_0,870,
423_0,128,
425_0,692,
426_0,933,
427_0,1174,
428_0,1253,
429_0,836,
431_0,61,
432_0,525,
433_0,449,
435_0,46,
436_0,1514,
437_0,383,
438_0,1527,
439_0,666,
440_0,158,
441_0,2288,
442_0,261,
443_0,737,
444_0,397,
445_0,10,
446_0,65,
447_0,109,
448_0,1330,
449_0,580,
450_0,1215,
451_0,20,
452_0,434,
453_0,113,
454_0,969,
455_0,3053,
456_0,30,
457_0,43,
458_0,799,
459_0,38,
460_0,365,
461_0,30,
462_0,893,
463_0,37,
464_0,-77,
465_0,116,
466_0,104,
467_0,1626,
468_0,1385,
469_0,1133,
470_0,675,
471_0,543,
472_0,-26,
473_0,1016,
474_0,430,
475_0,1764,
476_0,857,
477_0,528,
478_0,1342,
479_0,1524,
480_0,1596,
481_0,1140,
482_0,64,
483_0,1323,
484_0,303,
485_0,38,
486_0,441,
488_0,31,
489_0,792,
490_0,3530,
491_0,1262,
492_0,105,
493_0,825,
494_0,28,
495_0,188,
497_0,566,
498_0,326,
500_0,1356,
501_0,1735,
502_0,72,
503_0,78,
504_0,2457,
505_0,0,
506_0,1333,
508_0,1865,
509_0,1675,
510_0,12,
511_0,1812,
512_0,2355,
513_0,1908,
514_0,620,
516_0,1613,
517_0,1376,
519_0,600,
520_0,1105,
521_0,987,
522_0,79,
523_0,840,
524_0,1646,
526_0,1972,
527_0,1280,
528_0,184,
529_0,384,
530_0,549,
531_0,258,
532_0,12,
533_0,37,
534_0,335,
535_0,1507,
536_0,2725,
537_0,46,
538_0,641,
539_0,2667,
540_0,2911,
541_0,1367,
542_0,478,
543_0,45,
544_0,1382,
546_0,150,
547_0,1431,
548_0,566,
549_0,2113,
550_0,1121,
551_0,704,
552_0,1355,
553_0,3398,
554_0,912,
555_0,241,
557_0,1892,
558_0,678,
559_0,776,
560_0,1384,
561_0,74,
562_0,1081,
563_0,896,
564_0,1,
565_0,368,
566_0,659,
567_0,406,
568_0,1200,
569_0,1061,
570_0,425,
571_0,480,
572_0,1008,
573_0,644,
574_0,1289,
575_0,208,
577_0,1909,
578_0,1022,
579_0,958,
580_0,1832,
581_0,94,
582_0,80,
583_0,253,
