Date,Time,NadirX-NAD83,NadirY-NAD83,Depth
6/6/2016,14:54:17,376536.5304,4625476.731,3.9
6/6/2016,14:54:18,376537.9504,4625478.751,3.8
6/6/2016,14:54:19,376539.3704,4625480.791,4
6/6/2016,14:54:20,376540.8104,4625482.851,3.6
6/6/2016,14:54:21,376542.2604,4625484.931,3.8
6/6/2016,14:54:22,376543.7304,4625487.041,3.9
6/6/2016,14:54:23,376545.2204,4625489.181,3.7
6/6/2016,14:54:24,376546.7304,4625491.371,3.9
6/6/2016,14:54:25,376548.2704,4625493.611,3.9
6/6/2016,14:54:26,376549.8404,4625495.901,3.9
6/6/2016,14:54:27,376551.4404,4625498.251,4.2
6/6/2016,14:54:28,376553.0804,4625500.671,4
6/6/2016,14:54:29,376554.7604,4625503.161,3.9
6/6/2016,14:54:31,376556.4904,4625505.711,3.8
6/6/2016,14:54:32,376558.2504,4625508.321,3.7
6/6/2016,14:54:33,376560.0504,4625510.961,3.9
6/6/2016,14:54:34,376561.8904,4625513.641,4
6/6/2016,14:54:35,376563.7704,4625516.321,3.9
6/6/2016,14:54:36,376565.6804,4625519.011,4
6/6/2016,14:54:37,376567.6304,4625521.691,3.9
6/6/2016,14:54:38,376569.6104,4625524.351,4.2
6/6/2016,14:54:39,376571.6304,4625526.971,4
6/6/2016,14:54:40,376573.6704,4625529.541,4
6/6/2016,14:54:41,376575.7504,4625532.051,4.2
6/6/2016,14:54:42,376577.8504,4625534.481,4.2
6/6/2016,14:54:43,376579.9904,4625536.841,4.3
6/6/2016,14:54:44,376582.1604,4625539.121,4.2
6/6/2016,14:54:45,376584.3704,4625541.341,4.4
6/6/2016,14:54:46,376586.6304,4625543.521,4.4
6/6/2016,14:54:47,376588.9404,4625545.651,4.3
6/6/2016,14:54:48,376591.3004,4625547.751,4.2
6/6/2016,14:54:50,376593.7204,4625549.831,4.3
6/6/2016,14:54:51,376596.2204,4625551.901,4.4
6/6/2016,14:54:52,376598.7804,4625553.971,4.5
6/6/2016,14:54:53,376601.4204,4625556.051,4.4
6/6/2016,14:54:54,376604.1504,4625558.141,4.5
6/6/2016,14:54:55,376606.9604,4625560.271,4.5
6/6/2016,14:54:56,376609.8504,4625562.421,4.6
6/6/2016,14:54:57,376612.8004,4625564.581,4.7
6/6/2016,14:54:58,376615.7704,4625566.711,4.6
6/6/2016,14:54:59,376618.7204,4625568.781,4.7
6/6/2016,14:55:00,376621.6204,4625570.751,4.6
6/6/2016,14:55:01,376624.4304,4625572.591,4.7
6/6/2016,14:55:02,376627.1104,4625574.271,4.8
6/6/2016,14:55:03,376629.6304,4625575.751,4.8
6/6/2016,14:55:04,376631.9604,4625577.001,4.8
6/6/2016,14:55:05,376634.0504,4625577.981,4.9
6/6/2016,14:55:06,376635.8604,4625578.671,4.9
6/6/2016,14:55:07,376637.3804,4625579.031,4.9
6/6/2016,14:55:09,376638.5504,4625579.021,5
6/6/2016,14:55:10,376639.3804,4625578.671,5.1
6/6/2016,14:55:11,376639.8904,4625577.991,5.1
6/6/2016,14:55:12,376640.1104,4625577.021,5.1
6/6/2016,14:55:13,376640.0604,4625575.781,4.9
6/6/2016,14:55:14,376639.7504,4625574.321,5
6/6/2016,14:55:15,376639.2104,4625572.661,5
6/6/2016,14:55:16,376638.4604,4625570.831,5
6/6/2016,14:55:17,376637.5204,4625568.871,4.9
6/6/2016,14:55:18,376636.4204,4625566.801,4.9
6/6/2016,14:55:19,376635.1804,4625564.651,5
6/6/2016,14:55:20,376633.8104,4625562.461,4.9
6/6/2016,14:55:21,376632.3404,4625560.261,4.9
6/6/2016,14:55:22,376630.7904,4625558.061,4.8
6/6/2016,14:55:23,376629.1604,4625555.861,4.8
6/6/2016,14:55:24,376627.4704,4625553.651,4.8
6/6/2016,14:55:25,376625.7204,4625551.441,4.9
6/6/2016,14:55:26,376623.9204,4625549.211,4.7
6/6/2016,14:55:28,376622.0804,4625546.981,4.7
6/6/2016,14:55:29,376620.2104,4625544.721,4.8
6/6/2016,14:55:30,376618.3204,4625542.441,4.9
6/6/2016,14:55:31,376616.4104,4625540.141,4.8
6/6/2016,14:55:32,376614.5004,4625537.801,4.9
6/6/2016,14:55:33,376612.6004,4625535.441,4.8
