system:index,b1,.geo
0_0,5,
1_0,19,
3_0,5,
4_0,5,
5_0,19,
6_0,19,
7_0,19,
8_0,5,
9_0,19,
10_0,19,
11_0,19,
12_0,5,
13_0,19,
14_0,5,
15_0,19,
16_0,19,
17_0,3,
18_0,19,
19_0,5,
20_0,19,
21_0,19,
22_0,19,
23_0,19,
24_0,19,
25_0,19,
26_0,5,
27_0,19,
28_0,5,
29_0,19,
30_0,19,
31_0,3,
32_0,1,
33_0,5,
34_0,19,
35_0,19,
36_0,3,
37_0,7,
38_0,5,
39_0,19,
40_0,0,
41_0,5,
42_0,19,
43_0,5,
44_0,5,
45_0,5,
46_0,5,
47_0,5,
49_0,5,
51_0,5,
52_0,5,
53_0,5,
54_0,19,
55_0,19,
56_0,3,
57_0,5,
58_0,5,
59_0,18,
60_0,19,
61_0,1,
62_0,18,
63_0,5,
64_0,19,
65_0,5,
66_0,3,
67_0,5,
68_0,19,
69_0,3,
70_0,5,
71_0,5,
72_0,5,
73_0,3,
74_0,3,
75_0,16,
76_0,3,
77_0,19,
78_0,5,
79_0,5,
80_0,5,
81_0,19,
82_0,5,
83_0,5,
84_0,5,
86_0,19,
87_0,3,
88_0,7,
89_0,19,
91_0,3,
92_0,1,
93_0,19,
95_0,19,
96_0,3,
97_0,19,
99_0,5,
100_0,19,
101_0,19,
102_0,5,
103_0,5,
105_0,5,
106_0,19,
107_0,5,
108_0,19,
109_0,5,
110_0,5,
111_0,19,
112_0,5,
113_0,19,
114_0,1,
115_0,5,
116_0,19,
117_0,3,
118_0,19,
119_0,19,
120_0,5,
121_0,3,
123_0,19,
124_0,16,
125_0,18,
126_0,19,
127_0,5,
128_0,3,
129_0,5,
130_0,5,
131_0,5,
132_0,1,
133_0,19,
134_0,19,
135_0,7,
136_0,5,
137_0,5,
138_0,5,
139_0,3,
140_0,19,
141_0,18,
143_0,3,
144_0,19,
145_0,5,
146_0,18,
147_0,3,
148_0,19,
149_0,5,
151_0,19,
152_0,5,
153_0,5,
154_0,5,
155_0,5,
156_0,5,
157_0,3,
158_0,19,
160_0,3,
161_0,19,
162_0,5,
163_0,1,
164_0,5,
165_0,5,
166_0,19,
167_0,19,
168_0,5,
169_0,19,
170_0,19,
171_0,19,
172_0,3,
173_0,5,
175_0,5,
176_0,7,
177_0,19,
178_0,7,
179_0,5,
180_0,19,
181_0,19,
182_0,19,
183_0,19,
184_0,5,
186_0,19,
187_0,11,
188_0,3,
190_0,5,
191_0,5,
192_0,1,
193_0,19,
194_0,5,
195_0,19,
196_0,18,
197_0,1,
198_0,5,
199_0,19,
200_0,5,
201_0,19,
202_0,7,
203_0,5,
204_0,19,
205_0,1,
206_0,5,
207_0,7,
208_0,19,
209_0,19,
210_0,17,
211_0,19,
212_0,19,
213_0,5,
214_0,5,
215_0,3,
216_0,5,
217_0,19,
218_0,19,
219_0,5,
220_0,5,
221_0,3,
222_0,19,
223_0,5,
224_0,3,
225_0,5,
226_0,5,
227_0,19,
228_0,5,
229_0,7,
230_0,5,
231_0,5,
232_0,19,
233_0,5,
234_0,5,
235_0,3,
237_0,5,
238_0,19,
239_0,5,
241_0,5,
242_0,19,
243_0,18,
244_0,19,
245_0,19,
246_0,19,
247_0,3,
248_0,19,
249_0,5,
250_0,19,
251_0,19,
252_0,19,
253_0,19,
254_0,19,
255_0,7,
256_0,19,
257_0,5,
258_0,18,
259_0,3,
260_0,5,
261_0,19,
262_0,19,
263_0,19,
264_0,5,
265_0,19,
266_0,5,
267_0,1,
268_0,0,
269_0,5,
270_0,3,
271_0,19,
272_0,19,
273_0,19,
274_0,3,
275_0,19,
276_0,19,
277_0,5,
278_0,5,
279_0,3,
280_0,19,
281_0,19,
282_0,5,
283_0,19,
284_0,19,
286_0,19,
287_0,5,
289_0,3,
291_0,5,
292_0,3,
293_0,3,
294_0,7,
295_0,18,
296_0,5,
297_0,19,
298_0,5,
299_0,4,
300_0,19,
301_0,19,
302_0,5,
303_0,3,
304_0,19,
305_0,3,
306_0,19,
307_0,5,
308_0,7,
309_0,18,
310_0,5,
311_0,19,
312_0,5,
313_0,19,
314_0,5,
315_0,5,
316_0,19,
317_0,3,
318_0,3,
320_0,7,
321_0,1,
323_0,19,
325_0,19,
326_0,19,
327_0,5,
328_0,3,
329_0,5,
330_0,3,
331_0,5,
332_0,3,
333_0,19,
334_0,1,
335_0,1,
336_0,5,
337_0,19,
338_0,5,
339_0,19,
340_0,5,
341_0,3,
342_0,5,
343_0,5,
344_0,5,
345_0,5,
346_0,5,
347_0,5,
348_0,3,
350_0,19,
351_0,5,
352_0,3,
353_0,19,
354_0,3,
355_0,5,
356_0,5,
357_0,19,
359_0,3,
360_0,5,
362_0,5,
363_0,3,
364_0,5,
365_0,19,
366_0,3,
367_0,5,
368_0,19,
369_0,19,
370_0,3,
371_0,19,
372_0,19,
373_0,19,
374_0,16,
375_0,19,
376_0,5,
377_0,19,
378_0,5,
379_0,5,
380_0,7,
381_0,19,
382_0,19,
383_0,19,
384_0,5,
385_0,5,
386_0,19,
387_0,5,
388_0,19,
389_0,5,
390_0,19,
391_0,19,
392_0,19,
393_0,18,
394_0,19,
395_0,5,
396_0,19,
397_0,19,
398_0,3,
399_0,5,
400_0,3,
401_0,5,
402_0,5,
403_0,19,
404_0,3,
405_0,3,
406_0,19,
407_0,3,
409_0,5,
410_0,19,
411_0,5,
413_0,5,
414_0,3,
415_0,0,
416_0,3,
417_0,5,
418_0,3,
419_0,5,
420_0,18,
421_0,3,
422_0,5,
423_0,19,
425_0,19,
426_0,19,
427_0,5,
428_0,19,
429_0,1,
431_0,3,
432_0,19,
433_0,5,
435_0,19,
436_0,7,
437_0,3,
438_0,5,
439_0,19,
440_0,19,
441_0,7,
442_0,19,
443_0,1,
444_0,19,
445_0,19,
446_0,19,
447_0,19,
448_0,5,
449_0,19,
450_0,18,
451_0,19,
452_0,5,
453_0,19,
454_0,19,
455_0,5,
456_0,19,
457_0,19,
458_0,18,
459_0,19,
