system:index,fnf,.geo
0_0,2.0,
1_0,1.0,
2_0,3.0,
3_0,1.0,
4_0,1.0,
5_0,2.0,
6_0,2.0,
7_0,2.0,
8_0,2.0,
9_0,2.0,
10_0,2.0,
11_0,2.0,
12_0,2.0,
13_0,1.0,
14_0,1.0,
15_0,2.0,
16_0,2.0,
17_0,1.0,
18_0,2.0,
19_0,2.0,
20_0,2.0,
21_0,2.0,
22_0,2.0,
23_0,2.0,
24_0,2.0,
25_0,2.0,
26_0,1.0,
27_0,2.0,
28_0,1.0,
29_0,2.0,
30_0,2.0,
31_0,1.0,
32_0,1.0,
33_0,1.0,
34_0,2.0,
35_0,2.0,
36_0,2.0,
37_0,2.0,
38_0,2.0,
39_0,2.0,
40_0,2.0,
41_0,2.0,
42_0,1.0,
43_0,2.0,
44_0,2.0,
45_0,1.0,
46_0,1.0,
47_0,1.0,
48_0,3.0,
49_0,1.0,
50_0,3.0,
51_0,1.0,
52_0,1.0,
53_0,1.0,
54_0,2.0,
55_0,2.0,
56_0,2.0,
57_0,2.0,
58_0,2.0,
59_0,2.0,
60_0,2.0,
61_0,1.0,
62_0,2.0,
63_0,2.0,
64_0,2.0,
65_0,2.0,
66_0,1.0,
67_0,1.0,
68_0,2.0,
69_0,1.0,
70_0,1.0,
71_0,2.0,
72_0,2.0,
73_0,1.0,
74_0,2.0,
75_0,1.0,
76_0,2.0,
77_0,2.0,
78_0,2.0,
79_0,1.0,
80_0,1.0,
81_0,2.0,
82_0,1.0,
83_0,2.0,
84_0,1.0,
85_0,3.0,
86_0,2.0,
87_0,1.0,
88_0,2.0,
89_0,2.0,
90_0,3.0,
91_0,2.0,
92_0,1.0,
93_0,2.0,
94_0,3.0,
95_0,2.0,
96_0,1.0,
97_0,2.0,
98_0,3.0,
99_0,1.0,
100_0,2.0,
101_0,2.0,
102_0,1.0,
103_0,1.0,
104_0,3.0,
105_0,1.0,
106_0,2.0,
107_0,2.0,
108_0,2.0,
109_0,1.0,
110_0,1.0,
111_0,2.0,
112_0,1.0,
113_0,2.0,
114_0,1.0,
115_0,2.0,
116_0,2.0,
117_0,1.0,
118_0,2.0,
119_0,2.0,
120_0,1.0,
121_0,1.0,
122_0,3.0,
123_0,2.0,
124_0,2.0,
125_0,2.0,
126_0,2.0,
127_0,2.0,
128_0,2.0,
129_0,1.0,
130_0,2.0,
131_0,2.0,
132_0,1.0,
133_0,2.0,
134_0,2.0,
135_0,1.0,
136_0,2.0,
137_0,2.0,
138_0,1.0,
139_0,2.0,
140_0,2.0,
141_0,2.0,
142_0,3.0,
143_0,1.0,
144_0,2.0,
145_0,1.0,
146_0,2.0,
147_0,2.0,
148_0,2.0,
149_0,2.0,
150_0,3.0,
151_0,2.0,
152_0,1.0,
153_0,1.0,
154_0,1.0,
155_0,2.0,
156_0,1.0,
157_0,1.0,
158_0,2.0,
159_0,3.0,
160_0,2.0,
161_0,2.0,
162_0,2.0,
163_0,2.0,
164_0,2.0,
165_0,2.0,
166_0,1.0,
167_0,2.0,
168_0,1.0,
169_0,2.0,
170_0,2.0,
171_0,2.0,
172_0,1.0,
173_0,1.0,
174_0,3.0,
175_0,2.0,
176_0,1.0,
177_0,2.0,
178_0,2.0,
179_0,1.0,
180_0,2.0,
181_0,2.0,
182_0,2.0,
183_0,2.0,
184_0,1.0,
185_0,3.0,
186_0,2.0,
187_0,1.0,
188_0,2.0,
189_0,3.0,
190_0,1.0,
191_0,2.0,
192_0,2.0,
193_0,2.0,
194_0,2.0,
195_0,2.0,
196_0,2.0,
197_0,1.0,
198_0,1.0,
199_0,2.0,
200_0,1.0,
201_0,3.0,
202_0,1.0,
203_0,2.0,
204_0,1.0,
205_0,1.0,
206_0,1.0,
207_0,1.0,
208_0,1.0,
209_0,1.0,
210_0,2.0,
211_0,2.0,
212_0,2.0,
213_0,1.0,
214_0,1.0,
215_0,2.0,
216_0,1.0,
217_0,2.0,
218_0,2.0,
219_0,2.0,
220_0,1.0,
221_0,1.0,
222_0,1.0,
223_0,2.0,
224_0,2.0,
225_0,2.0,
226_0,1.0,
227_0,2.0,
228_0,1.0,
229_0,2.0,
230_0,1.0,
231_0,1.0,
232_0,2.0,
233_0,1.0,
234_0,2.0,
235_0,1.0,
236_0,3.0,
237_0,1.0,
238_0,2.0,
239_0,2.0,
240_0,3.0,
241_0,2.0,
242_0,1.0,
243_0,2.0,
244_0,2.0,
245_0,1.0,
246_0,2.0,
247_0,1.0,
248_0,1.0,
249_0,1.0,
250_0,2.0,
251_0,2.0,
252_0,2.0,
253_0,2.0,
254_0,1.0,
255_0,2.0,
256_0,2.0,
257_0,2.0,
258_0,2.0,
259_0,2.0,
260_0,2.0,
261_0,2.0,
262_0,2.0,
263_0,2.0,
264_0,1.0,
265_0,2.0,
266_0,2.0,
267_0,2.0,
268_0,2.0,
269_0,2.0,
270_0,2.0,
271_0,2.0,
272_0,2.0,
273_0,2.0,
274_0,2.0,
275_0,2.0,
276_0,2.0,
277_0,2.0,
278_0,1.0,
279_0,1.0,
280_0,1.0,
281_0,2.0,
282_0,2.0,
283_0,2.0,
284_0,2.0,
285_0,3.0,
286_0,2.0,
287_0,2.0,
288_0,3.0,
289_0,2.0,
290_0,3.0,
291_0,1.0,
292_0,1.0,
293_0,1.0,
294_0,2.0,
295_0,2.0,
296_0,1.0,
297_0,2.0,
298_0,2.0,
299_0,2.0,
300_0,2.0,
301_0,2.0,
302_0,1.0,
303_0,1.0,
304_0,2.0,
305_0,1.0,
306_0,2.0,
307_0,2.0,
308_0,2.0,
309_0,2.0,
310_0,1.0,
311_0,2.0,
312_0,1.0,
313_0,2.0,
314_0,2.0,
315_0,1.0,
316_0,2.0,
317_0,1.0,
318_0,2.0,
319_0,3.0,
320_0,1.0,
321_0,1.0,
322_0,3.0,
323_0,2.0,
324_0,3.0,
325_0,2.0,
326_0,2.0,
327_0,1.0,
328_0,2.0,
329_0,2.0,
330_0,1.0,
331_0,2.0,
332_0,1.0,
333_0,2.0,
334_0,2.0,
335_0,1.0,
336_0,1.0,
337_0,2.0,
338_0,2.0,
339_0,2.0,
340_0,1.0,
341_0,2.0,
342_0,1.0,
343_0,1.0,
344_0,2.0,
345_0,1.0,
346_0,2.0,
347_0,1.0,
348_0,1.0,
349_0,3.0,
350_0,2.0,
351_0,1.0,
