system:index,gHM,.geo
0_0,0.023913614,
1_0,0.9269184,
3_0,0.19583778,
4_0,0.06974259,
5_0,0.037349276,
6_0,0.44778332,
7_0,0.453888,
8_0,0.3946436,
9_0,0.610958,
10_0,0.040867552,
11_0,0.06605485,
12_0,0.01933301,
13_0,0.9399061,
14_0,0.029072935,
15_0,0.0251987,
16_0,0.75829107,
17_0,0.26748636,
18_0,0.6335868,
19_0,0.122617304,
20_0,0.0034674618,
21_0,0.054991666,
22_0,0.33523807,
23_0,0.47978765,
24_0,0.049972977,
25_0,0.02216299,
26_0,0.049429826,
28_0,0.7103138,
29_0,0.036965106,
30_0,0.026504986,
31_0,0.22156994,
32_0,0.2167349,
33_0,0.0,
34_0,0.69818246,
35_0,0.2371329,
36_0,0.31940523,
38_0,5.178579E-4,
39_0,0.2915249,
40_0,0.44681054,
41_0,0.2730743,
42_0,0.4395743,
43_0,0.028916629,
44_0,0.27264455,
45_0,0.058522765,
46_0,0.0034925926,
47_0,0.04414314,
49_0,0.42952663,
51_0,0.15355518,
52_0,0.046040833,
53_0,0.09572062,
54_0,0.0,
55_0,0.07025437,
56_0,0.021118918,
57_0,0.0,
58_0,0.02410467,
59_0,0.009798273,
60_0,0.0053924974,
61_0,0.04515612,
62_0,0.06821171,
63_0,0.0,
64_0,0.24695441,
65_0,0.45236993,
66_0,0.06336719,
67_0,0.0,
68_0,0.22682473,
69_0,0.07431406,
70_0,0.027875433,
71_0,0.36286783,
72_0,0.21180315,
73_0,0.08726959,
74_0,0.25704205,
75_0,0.5122022,
76_0,0.15994032,
77_0,0.1960743,
78_0,0.0140263485,
79_0,0.0,
80_0,0.0013383122,
81_0,0.3878136,
82_0,0.20651959,
83_0,3.820424E-4,
84_0,0.030179799,
86_0,0.282536,
87_0,0.07693903,
88_0,0.02502683,
89_0,0.34827194,
91_0,0.085361525,
92_0,0.0040033897,
93_0,0.6053472,
95_0,0.5943309,
96_0,0.06895806,
97_0,0.4912812,
99_0,0.0036242807,
100_0,0.12065236,
101_0,0.020509645,
102_0,0.080647476,
103_0,0.116733335,
105_0,0.0,
106_0,0.3721336,
107_0,0.33071515,
108_0,0.6456963,
109_0,0.11199017,
110_0,0.055625156,
111_0,0.03223742,
112_0,0.05744474,
113_0,0.35588285,
114_0,0.030918736,
115_0,0.013438541,
116_0,0.58004034,
117_0,0.31072092,
118_0,0.0,
119_0,0.017275535,
120_0,0.42136788,
121_0,0.090490304,
123_0,0.48970658,
124_0,0.025684789,
125_0,0.029969146,
126_0,0.21761161,
127_0,0.022346873,
128_0,0.057383906,
129_0,0.05964169,
130_0,0.4002855,
131_0,0.0,
132_0,0.043102283,
133_0,0.2397606,
134_0,0.0013886094,
135_0,0.063050814,
136_0,0.004322983,
137_0,0.0,
138_0,0.52421546,
139_0,0.06409641,
140_0,0.23104264,
141_0,0.07255692,
143_0,0.013212715,
144_0,0.0022773766,
145_0,0.04830459,
146_0,0.049005013,
147_0,0.001414713,
148_0,0.02646678,
149_0,0.08627732,
151_0,0.029173527,
152_0,0.358934,
153_0,0.07183136,
154_0,0.03917757,
155_0,0.13814859,
156_0,3.0719262E-4,
157_0,0.03199088,
158_0,0.2213156,
160_0,0.24071594,
161_0,0.0,
162_0,0.0044171093,
163_0,0.013446581,
164_0,0.10251159,
