system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
3_0,36.0,128.0,0.0,5.0,7.0,1.0,
4_0,67.0,0.0,2.0,9.0,17.0,10.0,
6_0,33.0,128.0,2.0,4.0,6.0,1.0,
7_0,53.0,128.0,0.0,3.0,10.0,1.0,
8_0,30.0,136.0,0.0,7.0,5.0,1.0,
9_0,44.0,128.0,2.0,3.0,7.0,1.0,
11_0,13.0,132.0,2.0,5.0,2.0,1.0,
12_0,43.0,132.0,2.0,4.0,8.0,1.0,
14_0,67.0,1.0,2.0,9.0,19.0,9.0,
15_0,10.0,128.0,0.0,0.0,1.0,0.0,
17_0,86.0,0.0,2.0,6.0,35.0,11.0,
18_0,48.0,128.0,2.0,5.0,12.0,2.0,
19_0,34.0,128.0,0.0,6.0,6.0,1.0,
21_0,26.0,128.0,0.0,6.5,4.0,1.0,
22_0,13.0,136.0,0.0,7.0,2.0,1.0,
24_0,26.0,136.0,2.0,4.0,3.0,1.0,
26_0,49.0,4.0,2.0,8.0,11.0,3.0,
28_0,33.0,128.0,0.0,6.0,7.0,1.0,
29_0,9.0,136.0,2.0,0.0,1.0,0.0,
31_0,72.0,0.0,2.0,9.0,22.0,11.0,
32_0,49.0,128.0,2.0,4.0,12.0,2.0,
33_0,15.0,136.0,2.0,4.0,3.0,1.0,
34_0,51.0,129.0,2.0,5.0,11.0,2.0,
35_0,20.0,128.0,2.0,9.0,3.0,1.0,
36_0,40.0,128.0,2.0,5.0,11.0,2.0,
37_0,18.0,9.0,2.0,6.0,3.0,1.0,
38_0,27.0,128.0,0.0,6.0,4.0,1.0,
39_0,34.0,128.0,2.0,6.0,8.0,2.0,
41_0,29.0,128.0,2.0,5.0,5.0,1.0,
42_0,80.0,0.0,2.0,7.0,30.0,11.0,
43_0,13.0,136.0,2.0,4.5,2.0,1.0,
44_0,18.0,136.0,2.0,8.0,3.0,1.0,
45_0,73.0,0.0,2.0,8.0,24.0,11.0,
46_0,75.0,8.0,2.0,7.0,22.0,11.0,
47_0,41.0,136.0,2.0,5.0,9.0,1.0,
49_0,55.0,128.0,0.0,4.0,15.0,2.0,
51_0,68.0,8.0,0.0,10.0,17.0,6.0,
52_0,45.0,4.0,2.0,10.0,9.0,4.0,
53_0,89.0,0.0,34.0,6.0,36.0,10.0,
54_0,7.0,160.0,0.0,0.0,1.0,0.0,
55_0,24.0,128.0,0.0,5.0,3.0,1.0,
56_0,9.0,136.0,0.0,0.0,1.0,0.0,
58_0,10.0,128.0,0.0,6.0,2.0,1.0,
59_0,13.0,129.0,2.0,7.0,2.0,1.0,
60_0,9.0,160.0,2.0,5.0,2.0,1.0,
61_0,82.0,0.0,2.0,6.0,33.0,11.0,
63_0,12.0,136.0,0.0,7.0,2.0,1.0,
64_0,27.0,129.0,2.0,5.0,6.0,1.0,
65_0,32.0,128.0,0.0,5.0,6.0,1.0,
66_0,90.0,8.0,97.0,6.0,46.0,6.5,
67_0,66.0,8.0,8.0,7.0,18.0,9.0,
68_0,28.0,128.0,2.0,5.0,5.0,1.0,
69_0,56.0,128.0,2.0,4.0,14.0,2.0,
70_0,41.0,133.0,2.0,4.0,8.0,1.0,
71_0,29.0,128.0,0.0,6.0,5.0,1.0,
72_0,14.0,128.0,0.0,7.0,2.0,1.0,
73_0,93.0,8.0,97.0,6.5,53.0,10.0,
74_0,28.0,128.0,2.0,6.0,5.0,1.0,
75_0,44.0,128.0,0.0,4.0,7.0,1.0,
76_0,20.0,128.0,2.0,8.0,3.0,2.0,
78_0,10.0,128.0,0.0,5.0,1.0,1.0,
79_0,24.0,136.0,2.0,6.0,3.0,1.0,
80_0,13.0,136.0,16.0,4.0,2.0,1.0,
81_0,41.0,128.0,2.0,3.0,7.0,1.0,
82_0,42.0,8.0,2.0,8.0,8.0,3.0,
83_0,9.0,160.0,2.0,5.0,1.0,1.0,
