month,FFMC,DMC,DC,rain,temp,RH,wind,ISI,BUI,FWI,class
sep,91,129.5,692.6,0,13.1,63,5.4,7,11.3,4.5,fire
sep,92.5,88,698.6,0,22.8,40,4,7.1,14.2,7.1,fire
sep,92.5,88,698.6,0,17.8,51,7.2,7.1,16,7.6,fire
sep,92.8,73.2,713,0,19.3,38,4,22.6,19.2,18.9,fire
sep,90.9,126.5,686.5,0,21.3,42,2.2,7,65.1,1.9,fire
sep,92.9,133.3,699.6,0,26.4,21,4.5,9.2,43.1,15.4,fire
sep,93.3,141.2,713.9,0,22.9,44,5.4,13.9,8.4,13.8,fire
sep,91,129.5,692.6,0,18.3,40,2.7,7,17.6,9.3,fire
sep,91.8,78.5,724.3,0,19.1,38,2.7,9.2,22.9,8.7,fire
sep,92.4,117.9,668,0,19,34,5.8,12.2,43.1,2.6,fire
sep,90.9,126.5,686.5,0,19.4,48,1.3,7,47.5,3.5,fire
sep,93.4,145.4,721.4,0,30.2,24,2.7,8.1,50.9,2.6,fire
sep,93.5,149.3,728.6,0,22.8,39,3.6,8.1,54.7,4.1,fire
sep,94.3,85.1,692.3,0,25.4,24,3.6,15.9,57.1,1.7,fire
sep,88.6,91.8,709.9,0,11.2,78,7.6,7.1,59.3,2.8,fire
sep,88.6,69.7,706.8,0,20.6,37,1.8,5.8,62.9,2.3,fire
sep,91.7,75.6,718.3,0,17.7,39,3.6,7.8,67.4,9.2,fire
sep,91.8,78.5,724.3,0,21.2,32,2.7,9.2,39.4,3.1,fire
sep,90.3,80.7,730.2,0,18.2,62,4.5,6.3,56.1,1.8,fire
sep,92.5,88,698.6,0,19.6,48,2.7,7.1,9,4.9,fire
sep,90.1,82.9,735.7,0,12.9,74,4.9,6.2,7.7,7.6,fire
sep,94.3,85.1,692.3,0,25.9,24,4,15.9,6.8,6.1,fire
sep,90.9,126.5,686.5,0,14.7,70,3.6,7,12.5,8.5,fire
sep,92.9,137,706.4,0,20.8,17,1.3,9.2,19.2,4.5,fire
sep,92.9,137,706.4,0,27.7,24,2.2,9.2,39.5,8.1,fire
sep,90.3,80.7,730.2,0,17.8,63,4.9,6.3,44,7.1,fire
sep,92.4,117.9,668,0,23,37,4.5,12.2,23.5,10.6,fire
sep,92.4,117.9,668,0,19.6,33,5.4,12.2,10.5,6.3,fire
sep,92.4,117.9,668,0,19.6,33,6.3,12.2,6.9,4.2,fire
sep,94.3,85.1,692.3,0,17.7,37,3.6,15.9,15.8,3.8,fire
sep,93.3,141.2,713.9,0,27.6,30,1.3,13.9,17.5,4.7,fire
sep,92.9,137,706.4,0,21.5,15,0.9,9.2,54.9,20.4,fire
sep,92.9,137,706.4,0,25.4,27,2.2,9.2,59.5,22.3,fire
sep,92.9,137,706.4,0,22.4,34,2.2,9.2,64,20.9,fire
sep,93.5,149.3,728.6,0,25.3,36,3.6,8.1,68,20.3,fire
sep,89.7,90,704.4,0,17.8,64,1.3,4.8,24.4,6.3,fire
sep,92.5,121.1,674.4,0,24.1,29,4.5,8.6,38.8,22.3,fire
sep,92.5,88,698.6,0,20.3,45,3.1,7.1,57.1,19.9,fire
sep,88.6,91.8,709.9,0,17.4,56,5.4,7.1,59.3,30.2,fire
sep,89.7,90,704.4,0,22.8,39,3.6,4.8,15.7,17.2,fire
sep,91.8,78.5,724.3,0,18.9,35,2.7,9.2,19.5,16.8,fire
sep,92.4,124.1,680.7,0,22.5,42,5.4,8.5,6.9,30.2,fire
sep,84.4,73.4,671.9,0,17.9,45,3.1,3.2,11,14.6,fire
sep,94.3,85.1,692.3,0,19.8,50,5.4,15.9,16.4,16.1,fire
sep,93.5,149.3,728.6,0,17.2,43,3.1,8.1,18.4,18.4,fire
sep,93.7,80.9,685.2,0,17.6,42,3.1,17.9,35.9,13.2,fire
sep,92.4,124.1,680.7,0,17.2,58,1.3,8.5,41.3,33.7,fire
sep,90.9,126.5,686.5,0,15.6,66,3.1,7,45.5,21.6,fire
sep,91,129.5,692.6,0,21.7,38,2.2,7,54.9,5.1,fire
sep,90.9,126.5,686.5,0,21.9,39,1.8,7,59.5,11.6,fire
sep,84.4,73.4,671.9,0,24.2,28,3.6,3.2,27.2,4.7,fire
sep,93.7,80.9,685.2,0,23.7,25,4.5,17.9,17.6,8.7,fire
